id,airline_name_ko,airline_name_en,iata_code
493,에어링거스,Aer Lingus,EI
494,에어링구스리저널,Aer Lingus Regional,EI
495,에어맥스 카고,Airmax Cargo,X8
496,에어발틱,airBaltic,BT
497,에어버스 국제운송,Airbus Transport International,4Y
498,에어브리지카고 항공,AirBridgeCargo Airlines,RU
499,에어블루,airblue,PA
500,에어아시아,AirAsia,AK
501,에어아시아 엑스,AirAsia X,D7
502,에어익스플로어,AirExplore,ED
503,에어재팬,AirJapan,NQ
504,에어카리베,AerCaribe,JK
505,에어카리베 페루,Aer Caribe Peru,EF
506,에어칼린,Aircalin,SB
507,에어케냐,AirKenya,P2
508,에어허버항공,Airhub Airlines,RE
509,에와 항공,Ewa Air,ZD
510,에이젯,AJet,VF
511,에코젯,EcoJet,8J
512,에티오피아 모잠비크 항공,Ethiopian Mozambique Airlines,ZU
513,에티오피아 항공,Ethiopian Airlines,ET
514,에티하드 항공,Etihad Airways,EY
515,엔더버 항공,Endeavor Air,9E
516,엔터 에어,Enter Air,E4
517,엘리항공,Ellinair,EL
518,엘알 항공,El Al,LY
519,영국 항공,British Airways,BA
520,예메니아,Yemenia,IY
521,예티 항공,Yeti Airlines,YT
522,오렌부르크 항공,Orenburg Airlines,O7
523,오로라 ,Aurora,HZ
524,오리니 에어서비스,Aurigny Air Services,GR
525,오리엔탈 에어 브리지,Oriental Air Bridge,OC
526,오리지날에어,Originair,OG
527,오릭스 에어서비스,Auric Air Services,UI
528,오만 에어,Oman Air,WY
529,오스트리안 항공 ,Austrian Airlines,OS
530,오야 국제항공,Oya International Airline,YI
531,오캐이 항공,Okay Airways,BK
532,올림픽 항공,Olympic Air,OA
533,와모스 항공,Wamos Air,EB
534,와사야 항공,Wasaya Airways,WP
535,요르단 항공,Jordan Aviation,R5
536,우간다 항공 ,Uganda Airlines,UR
537,우랄 항공,Ural Airlines,U6
538,우루무치 항공,Urumqi Air,UQ
539,우즈베키스탄 항공,Uzbekistan Airways,HY
540,워보로우즈 에어 벤처스,Warbelows Air Ventures,4W
541,원항공 SAU,One Airways SAU,OX
542,월드 아틀랜틱 항공,World Atlantic Airlines,WL
543,월드투플라이,World2Fly,2W
544,월드투플라이 포르투갈,World2Fly Portugal,3P
545,웨스턴 글로벌 항공,Western Global Airlines,KD
546,웨스트제트 ,WestJet,WS
